ID,ROW_ID,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
.1~866,866,02,20,02/20,8,40,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,27932,ST
.1~822,822,02,18,02/18,8,38,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,29629,ST
.1~448,448,02,01,02/01,5,21,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~492,492,02,03,02/03,5,23,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,21829,ST
.1~624,624,02,09,02/09,6,29,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~536,536,02,05,02/05,5,25,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,42738,ST
.1~74,74,01,04,01/04,1,4,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~140,140,01,07,01/07,2,7,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,17882,ST
.1~338,338,01,16,01/16,4,16,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~558,558,02,06,02/06,6,26,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,39993,ST
.1~910,910,03,02,03/02,9,42,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,21410,ST
.1~30,30,01,02,01/02,1,2,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~404,404,01,19,01/19,4,19,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~360,360,01,17,01/17,4,17,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~118,118,01,06,01/06,2,6,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,24796,ST
.1~470,470,02,02,02/02,5,22,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~932,932,03,03,03/03,9,43,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,19252,ST
.1~602,602,02,08,02/08,6,28,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,54369,ST
.1~514,514,02,04,02/04,5,24,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,44184,ST
.1~52,52,01,03,01/03,1,3,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~8,8,01,01,01/01,1,1,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~426,426,01,20,01/20,4,20,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~844,844,02,19,02/19,8,39,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,29629,ST
.1~580,580,02,07,02/07,6,27,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,38369,ST
.1~382,382,01,18,01/18,4,18,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~888,888,03,01,03/01,9,41,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,25258,ST
.1~96,96,01,05,01/05,1,5,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,15833,ST
.1~690,690,02,12,02/12,7,32,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~712,712,02,13,02/13,7,33,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~184,184,01,09,01/09,2,9,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,8941,ST
.1~778,778,02,16,02/16,8,36,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,44689,ST
.1~756,756,02,15,02/15,7,35,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~316,316,01,15,01/15,3,15,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~668,668,02,11,02/11,7,31,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~162,162,01,08,01/08,2,8,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,12501,ST
.1~250,250,01,12,01/12,3,12,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2636,ST
.1~228,228,01,11,01/11,3,11,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4095,ST
.1~294,294,01,14,01/14,3,14,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
.1~206,206,01,10,01/10,2,10,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,5985,ST
.1~800,800,02,17,02/17,8,37,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,31830,ST
.1~734,734,02,14,02/14,7,34,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~646,646,02,10,02/10,6,30,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,52876,ST
.1~272,272,01,13,01/13,3,13,02,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,988,ST
.1~586,586,02,07,02/07,6,27,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,56505,ST
.1~36,36,01,02,01/02,1,2,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,0,ST
.1~168,168,01,08,01/08,2,8,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,67501,ST
.1~718,718,02,13,02/13,7,33,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,217340,ST
.1~80,80,01,04,01/04,1,4,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,155000,ST
.1~850,850,02,19,02/19,8,39,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,121007,ST
.1~630,630,02,09,02/09,6,29,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,39000,ST
.1~498,498,02,03,02/03,5,23,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,148171,ST
.1~388,388,01,18,01/18,4,18,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~300,300,01,14,01/14,3,14,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~454,454,02,01,02/01,5,21,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,194004,ST
.1~894,894,03,01,03/01,9,41,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,75174,ST
.1~916,916,03,02,03/02,9,42,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,54341,ST
.1~762,762,02,15,02/15,7,35,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,194000,ST
.1~212,212,01,10,01/10,2,10,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,25835,ST
.1~608,608,02,08,02/08,6,28,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,39000,ST
.1~58,58,01,03,01/03,1,3,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,180000,ST
.1~828,828,02,18,02/18,8,38,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,141840,ST
.1~674,674,02,11,02/11,7,31,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,39000,ST
.1~806,806,02,17,02/17,8,37,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,166840,ST
.1~14,14,01,01,01/01,1,1,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,0,ST
.1~366,366,01,17,01/17,4,17,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~872,872,02,20,02/20,8,40,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,96007,ST
.1~476,476,02,02,02/02,5,22,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,170000,ST
.1~278,278,01,13,01/13,3,13,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~102,102,01,05,01/05,1,5,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,134167,ST
.1~432,432,01,20,01/20,4,20,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,219004,ST
.1~652,652,02,10,02/10,6,30,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,39000,ST
.1~784,784,02,16,02/16,8,36,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,191840,ST
.1~696,696,02,12,02/12,7,32,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,39000,ST
.1~322,322,01,15,01/15,3,15,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~234,234,01,11,01/11,3,11,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,835,ST
.1~564,564,02,06,02/06,6,26,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,81505,ST
.1~740,740,02,14,02/14,7,34,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,194000,ST
.1~256,256,01,12,01/12,3,12,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~124,124,01,06,01/06,2,6,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,113334,ST
.1~938,938,03,03,03/03,9,43,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,29341,ST
.1~190,190,01,09,01/09,2,9,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,46668,ST
.1~146,146,01,07,01/07,2,7,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,90000,ST
.1~520,520,02,04,02/04,5,24,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,123171,ST
.1~542,542,02,05,02/05,5,25,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,102338,ST
.1~344,344,01,16,01/16,4,16,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~410,410,01,19,01/19,4,19,88,AA-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,195000,ST
.1~57,57,01,03,01/03,1,3,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,180000,ST
.1~101,101,01,05,01/05,1,5,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,134167,ST
.1~387,387,01,18,01/18,4,18,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~937,937,03,03,03/03,9,43,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,29341,ST
.1~717,717,02,13,02/13,7,33,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,217340,ST
.1~827,827,02,18,02/18,8,38,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,141840,ST
.1~585,585,02,07,02/07,6,27,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,56505,ST
.1~497,497,02,03,02/03,5,23,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,148171,ST
.1~409,409,01,19,01/19,4,19,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~123,123,01,06,01/06,2,6,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,113334,ST
.1~189,189,01,09,01/09,2,9,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,46668,ST
.1~255,255,01,12,01/12,3,12,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~563,563,02,06,02/06,6,26,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,81505,ST
.1~783,783,02,16,02/16,8,36,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,191840,ST
.1~431,431,01,20,01/20,4,20,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,219004,ST
.1~277,277,01,13,01/13,3,13,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~739,739,02,14,02/14,7,34,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,194000,ST
.1~233,233,01,11,01/11,3,11,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,835,ST
.1~651,651,02,10,02/10,6,30,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,39000,ST
.1~321,321,01,15,01/15,3,15,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~915,915,03,02,03/02,9,42,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,54341,ST
.1~145,145,01,07,01/07,2,7,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,90000,ST
.1~343,343,01,16,01/16,4,16,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~629,629,02,09,02/09,6,29,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,39000,ST
.1~299,299,01,14,01/14,3,14,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~211,211,01,10,01/10,2,10,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,25835,ST
.1~365,365,01,17,01/17,4,17,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,195000,ST
.1~13,13,01,01,01/01,1,1,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,0,ST
.1~893,893,03,01,03/01,9,41,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,75174,ST
.1~673,673,02,11,02/11,7,31,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,39000,ST
.1~607,607,02,08,02/08,6,28,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,39000,ST
.1~761,761,02,15,02/15,7,35,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,194000,ST
.1~849,849,02,19,02/19,8,39,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,121007,ST
.1~453,453,02,01,02/01,5,21,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,194004,ST
.1~79,79,01,04,01/04,1,4,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,155000,ST
.1~519,519,02,04,02/04,5,24,88,AA-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,123171,ST
